worker	brief_self_control_survey_2	brief_self_control_survey_3	brief_self_control_survey_4	brief_self_control_survey_5	brief_self_control_survey_6	brief_self_control_survey_7	brief_self_control_survey_8	brief_self_control_survey_9	brief_self_control_survey_10	brief_self_control_survey_11	brief_self_control_survey_12	brief_self_control_survey_13	brief_self_control_survey_14
s473	4.0	3.0	3.0	5.0	4.0	4.0	3.0	3.0	3.0	4.0	4.0	5.0	5.0
s475	4.0	3.0	3.0	4.0	3.0	2.0	2.0	2.0	3.0	4.0	4.0	3.0	2.0
s477	3.0	2.0	3.0	2.0	2.0	2.0	3.0	1.0	2.0	1.0	2.0	2.0	2.0
s481	2.0	3.0	2.0	3.0	3.0	2.0	2.0	2.0	2.0	3.0	2.0	3.0	4.0
s483	4.0	4.0	4.0	5.0	5.0	4.0	2.0	3.0	4.0	4.0	3.0	4.0	5.0
s484	4.0	4.0	5.0	5.0	4.0	4.0	4.0	4.0	4.0	4.0	5.0	4.0	5.0
s488	3.0	2.0	1.0	2.0	3.0	3.0	2.0	1.0	1.0	2.0	3.0	4.0	3.0
s489	3.0	4.0	4.0	5.0	5.0	5.0	4.0	3.0	4.0	4.0	5.0	4.0	5.0
s490	4.0	4.0	5.0	5.0	4.0	4.0	3.0	3.0	5.0	5.0	5.0	5.0	5.0
s491	1.0	1.0	5.0	5.0	1.0	1.0	1.0	1.0	5.0	5.0	3.0	1.0	5.0
s492	5.0	5.0	5.0	2.0	4.0	4.0	5.0	3.0	5.0	5.0	4.0	5.0	5.0
s500	3.0	2.0	4.0	4.0	3.0	2.0	1.0	2.0	4.0	4.0	4.0	3.0	4.0
s501	4.0	4.0	5.0	5.0	3.0	4.0	4.0	4.0	3.0	4.0	4.0	2.0	4.0
s502	4.0	2.0	1.0	2.0	2.0	4.0	2.0	2.0	4.0	4.0	2.0	2.0	2.0
s503	4.0	4.0	5.0	4.0	3.0	4.0	4.0	4.0	4.0	4.0	5.0	5.0	5.0
s504	4.0	2.0	4.0	3.0	2.0	3.0	2.0	3.0	4.0	5.0	4.0	2.0	4.0
s505	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	3.0	2.0	3.0
s506	3.0	4.0	3.0	1.0	3.0	3.0	3.0	4.0	2.0	3.0	4.0	3.0	4.0
s507	3.0	2.0	3.0	4.0	3.0	2.0	1.0	1.0	3.0	4.0	4.0	3.0	4.0
s508	4.0	4.0	5.0	5.0	1.0	3.0	5.0	4.0	4.0	5.0	5.0	2.0	4.0
s509	4.0	2.0	3.0	4.0	4.0	4.0	2.0	4.0	4.0	4.0	5.0	4.0	4.0
s510	4.0	3.0	1.0	2.0	3.0	1.0	2.0	4.0	3.0	1.0	4.0	4.0	5.0
s511	3.0	2.0	3.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	4.0
