Variable Name,Short Name
stim_selective_stop_signal.stop_rt_error,STSPRT
stim_selective_stop_signal.SS_delay,STSSSDLY
stim_selective_stop_signal.SSRT,STSSSRT
stim_selective_stop_signal.EZ_drift,STSZD
stim_selective_stop_signal.EZ_non_decision,STSZN
stim_selective_stop_signal.EZ_thresh,STSZT
eating_survey.cognitive_restraint,TFEQCGRS
eating_survey.emotional_eating,TFEQEEAT
eating_survey.uncontrolled_eating,TFEQUEAT
ten_item_personality_survey.agreeableness,TIPIAGRE
ten_item_personality_survey.conscientiousness,TIPICONS
ten_item_personality_survey.emotional_stability,TIPIEMST
ten_item_personality_survey.extraversion,TIPIEXTR
ten_item_personality_survey.openness,TIPIOPEN
tower_of_london.avg_move_time,TOLAVGMT
tower_of_london.num_correct,TOLNUMRT
tower_of_london.num_optimal_solutions,TOLOPTSL
tower_of_london.planning_time,TOLPLNTM
tower_of_london.total_moves,TOLTOTMV
two_stage_decision.avg_rt,TSTAVRT
two_stage_decision.model_based,TSTMODBA
two_stage_decision.model_free,TSTMODFR
two_stage_decision.missed_percent,TSTMSPRC
threebytwo.acc,TXTAC
threebytwo.avg_rt,TXTAVRT
threebytwo.avg_rt_error,TXTAVRTE
threebytwo.cue_switch_cost_rt,TXTCSCRT
threebytwo.cue_switch_cost_EZ_drift,TXTCSCZD
threebytwo.cue_switch_cost_EZ_non_decision,TXTCSCZN
threebytwo.cue_switch_cost_EZ_thresh,TXTCSCZT
threebytwo.EZ_drift_cue_stay,TXTCSTZD
threebytwo.EZ_non_decision_cue_stay,TXTCSTZN
threebytwo.EZ_thresh_cue_stay,TXTCSTZT
threebytwo.EZ_drift_cue_switch,TXTCSWZD
threebytwo.EZ_non_decision_cue_switch,TXTCSWZN
threebytwo.EZ_thresh_cue_switch,TXTCSWZT
threebytwo.std_rt,TXTDRT
threebytwo.std_rt_error,TXTDRTE
threebytwo.missed_percent,TXTMSPRC
threebytwo.post_error_slowing,TXTPES
threebytwo.task_inhibition,TXTTAIOR
threebytwo.task_switch_cost_rt,TXTTSCRT
threebytwo.task_switch_cost_EZ_drift,TXTTSCZD
threebytwo.task_switch_cost_EZ_non_decision,TXTTSCZN
threebytwo.task_switch_cost_EZ_thresh,TXTTSCZT
threebytwo.EZ_drift_task_stay,TXTTSTZD
threebytwo.EZ_non_decision_task_stay,TXTTSTZN
threebytwo.EZ_thresh_task_stay,TXTTSTZT
threebytwo.EZ_drift_task_switch,TXTTSWZD
threebytwo.EZ_non_decision_task_switch,TXTTSWZN
threebytwo.EZ_thresh_task_switch,TXTTSWZT
upps_impulsivity_survey.lack_of_perseverance,UPPLPERS
upps_impulsivity_survey.lack_of__premeditation,UPPLPREM
upps_impulsivity_survey.negative_urgency,UPPNEGUR
upps_impulsivity_survey.positive_urgency,UPPPOSUR
upps_impulsivity_survey.sensation_seeking,UPPSENSE
writing_task.neutral_probability,WRTNEUPR
writing_task.positive_probability,WRTPOSPR
writing_task.sentiment_label,WRTSENTL
time_perspective_survey.future,ZTPIFUTR
time_perspective_survey.past_negative,ZTPIPNEG
time_perspective_survey.past_positive,ZTPIPPOS
time_perspective_survey.present_fatalistic,ZTPIPRFA
time_perspective_survey.present_hedonistic,ZTPIPRHE
